"","word","ar_orf","es_orf","mx_orf","aes_orf","ar_ord","es_ord","mx_ord","aes_ord"
"1","a",2654.57,2541.01,2537.99,2576.18,9.92,10,10,9.98
"2","á",0.24,0.1,0.13,0.15,0.16,0.05,0.08,0.09
"3","aa",0.36,0.1,0.13,0.19,0.16,0.05,0.08,0.09
"4","aaaaaa",0.12,0,0,0.04,0.08,0,0,0.02
"5","aaaaaaaa",0.36,0,0,0.11,0.08,0,0,0.02
"6","aaaaaaaaaaaaaaaaaaaaaah",0.12,0,0,0.04,0.08,0,0,0.02
"7","aaaaaaaah",0.12,0.48,0,0.23,0.08,0.16,0,0.09
"8","aaaaaaaay",0.12,0,0,0.04,0.08,0,0,0.02
"9","aaaaaaah",0.12,1.05,0,0.46,0.08,0.16,0,0.09
"10","aaaaaaahhhhh",0.24,0,0,0.08,0.08,0,0,0.02
"11","aaaaaaahhhhhh",0.24,0,0,0.08,0.08,0,0,0.02
"12","aaaaaah",0.48,1.15,0,0.61,0.23,0.38,0,0.23
"13","aaaaaahhh",0.24,0,0,0.08,0.08,0,0,0.02
"14","aaaaah",0.12,1.53,0.13,0.68,0.08,0.55,0.08,0.28
"15","aaaaahhh",0.12,0,0,0.04,0.08,0,0,0.02
"16","aaaaarg",0.24,0,0,0.08,0.08,0,0,0.02
"17","aaaaay",0.12,0.38,0,0.19,0.08,0.11,0,0.07
"18","aaaah",0.6,2.39,0,1.14,0.23,0.66,0,0.35
"19","aaaahh",0.12,0,0,0.04,0.08,0,0,0.02
"20","aaaahhh",0.72,0.19,0,0.3,0.23,0.11,0,0.12
"21","aaaarg",0.12,0,0,0.04,0.08,0,0,0.02
"22","aaaayyy",0.36,0,0,0.11,0.23,0,0,0.07
"23","aaah",0.36,2.68,0.13,1.22,0.16,0.82,0.08,0.42
"24","aaahh",0.24,0.38,0,0.23,0.16,0.22,0,0.14
"25","aaahhh",0.24,2.39,0,1.03,0.16,0.16,0,0.12
"26","aaay",0.12,0.38,1.73,0.68,0.08,0.22,0.17,0.16
"27","aaayyy",0.12,0,0,0.04,0.08,0,0,0.02
"28","aah",0.6,0.29,0.8,0.53,0.31,0.11,0.08,0.16
"29","aahh",0.24,0.19,0,0.15,0.16,0.11,0,0.09
"30","aahhh",0.36,0.1,0,0.15,0.23,0.05,0,0.09
"31","aandrés",0.12,0,0,0.04,0.08,0,0,0.02
"32","aapa",0.12,0,0,0.04,0.08,0,0,0.02
"33","aarón",0.12,0.29,0,0.15,0.08,0.05,0,0.05
"34","aarramos",0.12,0,0,0.04,0.08,0,0,0.02
"35","aay",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"36","aayy",0.24,0,0,0.08,0.08,0,0,0.02
"37","ab",0.12,0.48,0,0.23,0.08,0.11,0,0.07
"38","abajo",20.46,19.8,16.21,18.99,6.25,5.41,4.54,5.42
"39","abalanzan",0.12,0,0,0.04,0.08,0,0,0.02
"40","abanderadas",0.12,0,0,0.04,0.08,0,0,0.02
"41","abanderar",0.12,0,0,0.04,0.08,0,0,0.02
"42","abandona",0.84,0.67,0.53,0.68,0.55,0.38,0.25,0.4
"43","abandonada",0.6,0.29,0.4,0.42,0.31,0.16,0.25,0.23
"44","abandonado",2.03,3.54,2.79,2.85,0.94,1.37,1.43,1.26
"45","abandonados",0.12,0.67,0,0.3,0.08,0.27,0,0.14
"46","abandonan",0.12,0.19,0.27,0.19,0.08,0.11,0.17,0.12
"47","abandonando",0.12,0.29,0.13,0.19,0.08,0.16,0.08,0.12
"48","abandonar",1.8,1.24,2.39,1.75,1.09,0.71,1.34,1
"49","abandonará",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"50","abandonarla",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"51","abandonarle",0.12,0,0,0.04,0.08,0,0,0.02
"52","abandonarlo",0.12,0,0,0.04,0.08,0,0,0.02
"53","abandonarlos",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"54","abandonarme",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"55","abandonaron",0.36,0.29,0.13,0.27,0.16,0.16,0.08,0.14
"56","abandonaste",0.24,0.19,0.27,0.23,0.16,0.11,0.17,0.14
"57","abandone",0.36,0.38,0.53,0.42,0.23,0.22,0.25,0.23
"58","abandoné",0.36,0.19,0.13,0.23,0.23,0.11,0.08,0.14
"59","abandones",0.24,0.29,1.06,0.49,0.16,0.11,0.42,0.21
"60","abandono",0.48,0.1,0.13,0.23,0.23,0.05,0.08,0.12
"61","abandonó",1.8,1.24,2.13,1.67,0.94,0.6,1.09,0.84
"62","abanica",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"63","abanicadores",0.12,0,0,0.04,0.08,0,0,0.02
"64","abanican",0.12,0,0,0.04,0.08,0,0,0.02
"65","abanico",0.6,0.19,0.27,0.34,0.23,0.11,0.17,0.16
"66","abaniquen",0.12,0,0,0.04,0.08,0,0,0.02
"67","abarca",0.24,0.1,0.13,0.15,0.16,0.05,0.08,0.09
"68","abastece",0.12,0,0,0.04,0.08,0,0,0.02
"69","abastecer",0.12,0,0,0.04,0.08,0,0,0.02
"70","abastezcamos",0.12,0,0,0.04,0.08,0,0,0.02
"71","abasto",0.72,0.29,0.27,0.42,0.31,0.16,0.17,0.21
"72","abatido",0.36,0.19,0,0.19,0.23,0.11,0,0.12
"73","abatidos",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"74","abatimiento",0.12,0,0,0.04,0.08,0,0,0.02
"75","abdicar",0.12,0,0,0.04,0.08,0,0,0.02
"76","abdomen",0.6,0.19,0,0.27,0.31,0.11,0,0.14
"77","abdominal",0.24,0,0.13,0.11,0.16,0,0.08,0.07
"78","abdominales",0.12,0.29,0,0.15,0.08,0.16,0,0.09
"79","abdul",0.48,0.29,0,0.27,0.08,0.05,0,0.05
"80","abdulaman",0.12,0,0,0.04,0.08,0,0,0.02
"81","abedul",0.48,0.1,0,0.19,0.08,0.05,0,0.05
"82","abeja",0.36,0.19,0.4,0.3,0.08,0.11,0.17,0.12
"83","abejas",0.36,0.29,0.13,0.27,0.16,0.11,0.08,0.12
"84","abel",1.08,0.86,6.11,2.43,0.31,0.11,0.5,0.28
"85","abelardo",0.12,0.19,0,0.11,0.08,0.05,0,0.05
"86","abendaño",0.12,0,0,0.04,0.08,0,0,0.02
"87","aberración",0.12,0.19,0.13,0.15,0.08,0.11,0.08,0.09
"88","aberraciones",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"89","abierta",2.99,4.5,2.13,3.34,1.33,1.97,1.01,1.51
"90","abiertamente",0.24,0.19,0.13,0.19,0.16,0.11,0.08,0.12
"91","abiertas",0.48,0.96,0.53,0.68,0.31,0.49,0.17,0.35
"92","abiertito",0.24,0,0,0.08,0.08,0,0,0.02
"93","abierto",3.47,4.11,2.79,3.53,1.95,1.86,1.26,1.72
"94","abiertos",0.96,1.44,1.33,1.25,0.55,0.82,0.67,0.7
"95","abismo",0.36,1.63,0.53,0.91,0.16,0.49,0.34,0.35
"96","abismos",0.12,0.77,0.13,0.38,0.08,0.22,0.08,0.14
"97","ablandar",0.12,0.1,0.27,0.15,0.08,0.05,0.08,0.07
"98","ablande",0.36,0.19,0,0.19,0.16,0.05,0,0.07
"99","ablandé",0.12,0,0,0.04,0.08,0,0,0.02
"100","abnegada",0.36,0,0.13,0.15,0.16,0,0.08,0.07
"101","abofeteen",0.12,0,0,0.04,0.08,0,0,0.02
"102","abogacía",0.48,0.48,0,0.34,0.23,0.05,0,0.09
"103","abogada",0.24,1.15,0.27,0.61,0.16,0.16,0.08,0.14
"104","abogado",8.74,7.75,6.25,7.63,2.58,1.91,2.27,2.21
"105","abogados",2.75,2.2,1.86,2.28,1.02,0.82,1.01,0.93
"106","abolir",0.12,0,0,0.04,0.08,0,0,0.02
"107","abolla",0.24,0,0,0.08,0.08,0,0,0.02
"108","abollar",0.12,0,0,0.04,0.08,0,0,0.02
"109","abollarle",0.12,0,0,0.04,0.08,0,0,0.02
"110","abominable",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"111","abominamos",0.12,0,0,0.04,0.08,0,0,0.02
"112","abonado",0.12,0,0,0.04,0.08,0,0,0.02
"113","abonar",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"114","abono",0.6,0.19,0.66,0.46,0.16,0.11,0.42,0.21
